"Region","Year","TyphoidRate","DiarrheaRate","HepatitisRate","UnsafeRisk","Level.of.water.stress..freshwater.withdrawal.as.a.proportion.of.available.freshwater.resources","People.practicing.open.defecation....of.population.","People.using.at.least.basic.drinking.water.services....of.population.","People.using.at.least.basic.sanitation.services....of.population.","People.using.safely.managed.drinking.water.services....of.population.","People.using.safely.managed.sanitation.services....of.population.","Population.density..people.per.sq..km.of.land.area.","Population..total","Water.productivity..total..constant.2015.US..GDP.per.cubic.meter.of.total.freshwater.withdrawal.","People.with.basic.handwashing.facilities.including.soap.and.water....of.population.","logDiarrheaRate","logTyphoidRate","logHepatitisRate","logUnsafeRisk","Data_Type"
"African Region","2010",0.03,22.32,0.67,9.65,11.4675968210465,25.1397557641429,63.0475610439535,32.6515895864048,20.5282612111429,19.08657079956,96.5575337470652,18791036.9787234,45.3410594277209,13.4874030301667,3.10548313751311,-3.50655789731998,-0.400477566597125,2.26695791535089,"Historical"
"African Region","2011",0.03,22.09,0.68,9.38,11.5101247349302,24.3838943111429,63.7478397413953,33.4300177846667,21.2666223989524,19.5269206508,98.7348809083913,19317912.0425532,47.7512469929302,13.9898666351667,3.09512501743203,-3.50655789731998,-0.385662480811985,2.23857976301813,"Historical"
"African Region","2012",0.03,21.69,0.68,9.13,11.6138817665814,23.6371232908571,64.4409423902326,34.2023708390238,22.0454413874762,19.95127966536,100.885353848761,19856002.9361702,50.9712281274651,14.4932857555,3.07685132483878,-3.50655789731998,-0.385662480811985,2.21156569460688,"Historical"
"African Region","2013",0.03,21.2,0.68,8.87,11.7101343537674,22.8960784265952,65.1303720727907,34.9783206381191,22.6464780514762,20.36902881516,103.108152227826,20404077.3191489,51.3881867410465,14.9975386046667,3.05400118167797,-3.50655789731998,-0.385662480811985,2.18267479632149,"Historical"
"African Region","2014",0.03,20.72,0.68,8.54,12.0320834771628,22.1595488814524,65.8173913237209,35.7588453537619,23.1933965182857,20.78033415284,105.3483599455,20957516.1489362,53.0550447091395,15.5033506265,3.03109941739128,-3.50655789731998,-0.385662480811985,2.14476100780048,"Historical"
"African Region","2015",0.03,20.33,0.68,8.26,12.3628064656512,21.427581537381,66.5147792795349,36.5245989650714,23.7465036095238,21.18532931864,107.548777860891,21519984.0212766,52.1210307978372,16.0106584781667,3.01209762764026,-3.50655789731998,-0.385662480811985,2.11142458753289,"Historical"
"African Region","2016",0.03,19.98,0.68,8.06,12.676668333093,20.7004482792857,67.2140870934884,37.2836357135238,24.2626394455238,21.587972006,109.68556322037,22086515.5957447,51.0407630431395,16.5192402675,2.99473177322041,-3.50655789731998,-0.385662480811985,2.08691355651854,"Historical"
"African Region","2017",0.02,19.58,0.68,7.81,12.8696058509535,19.9782844140238,67.9140206890698,38.0442567618333,24.7477718010952,21.98395681596,111.91140609587,22659574.7021277,50.9861366856047,17.0290929596667,2.97450863710236,-3.91202300542815,-0.385662480811985,2.05540496385159,"Historical"
"African Region","2018",0.02,19.27,0.67,7.53,13.1425029552093,19.2604092995,68.5916416469767,38.7952158997143,25.2103468597619,22.34567973972,114.206748806891,23251467.0638298,50.928150293,17.5400610673333,2.95854948242628,-3.91202300542815,-0.400477566597125,2.0188950418118,"Historical"
"African Region","2019",0.02,19.13,0.67,7.25,13.3200406056977,18.5494658906429,69.2468351451163,39.5465876040714,25.6525664560476,22.68340939016,116.54304196113,23851723.787234,51.4266362735814,18.0521767915,2.95125778345216,-3.91202300542815,-0.400477566597125,1.98100146886658,"Historical"
"African Region","2020",0.02,18.24,0.62,6.07,13.5047730634419,17.8676387204762,69.8655587102326,40.2314262376905,26.0538854615238,23.0286829458,118.89039514437,24459938.7234043,49.3722290403953,18.5653752473333,2.90361698464619,-3.91202300542815,-0.478035800943,1.80335860507141,"Historical"
"African Region","2021",0.02,18.14,0.61,5.36,13.5486359834419,17.236480327381,70.4718865032558,40.8198980865714,26.341901802,23.31135824836,121.262494433696,25073078.0638298,50.7516621028837,19.0012371445,2.89811944468699,-3.91202300542815,-0.49429632181478,1.67896397508271,"Historical"
"African Region","2022",0.0199999990393884,18.13999433125,0.609999841435161,5.36001362039246,13.5486359834419,17.236480327381,70.4718865032558,40.8198980865714,NA,NA,NA,NA,58.1493352542166,NA,2.89811913218694,-3.91202305345873,-0.494296581757172,1.67896651619748,"Forecasted"
